,GDP,TENYR
2019-09-28,21717.171,2.03
2019-09-29,21717.171,2.03
2019-09-30,21717.171,2.03
2019-10-01,21933.217,1.65
2019-10-02,21933.217,1.65
2019-10-03,21933.217,1.65
2019-10-04,21933.217,1.65
2019-10-05,21933.217,1.65
2019-10-06,21933.217,1.65
2019-10-07,21933.217,1.65
2019-10-08,21933.217,1.65
2019-10-09,21933.217,1.65
2019-10-10,21933.217,1.65
2019-10-11,21933.217,1.65
2019-10-12,21933.217,1.65
2019-10-13,21933.217,1.65
2019-10-14,21933.217,1.65
2019-10-15,21933.217,1.65
2019-10-16,21933.217,1.65
2019-10-17,21933.217,1.65
2019-10-18,21933.217,1.65
2019-10-19,21933.217,1.65
2019-10-20,21933.217,1.65
2019-10-21,21933.217,1.65
2019-10-22,21933.217,1.65
2019-10-23,21933.217,1.65
2019-10-24,21933.217,1.65
2019-10-25,21933.217,1.65
2019-10-26,21933.217,1.65
2019-10-27,21933.217,1.65
2019-10-28,21933.217,1.65
2019-10-29,21933.217,1.65
2019-10-30,21933.217,1.65
2019-10-31,21933.217,1.65
2019-11-01,21933.217,1.65
2019-11-02,21933.217,1.65
2019-11-03,21933.217,1.65
2019-11-04,21933.217,1.65
2019-11-05,21933.217,1.65
2019-11-06,21933.217,1.65
2019-11-07,21933.217,1.65
2019-11-08,21933.217,1.65
2019-11-09,21933.217,1.65
2019-11-10,21933.217,1.65
2019-11-11,21933.217,1.65
2019-11-12,21933.217,1.65
2019-11-13,21933.217,1.65
2019-11-14,21933.217,1.65
2019-11-15,21933.217,1.65
2019-11-16,21933.217,1.65
2019-11-17,21933.217,1.65
2019-11-18,21933.217,1.65
2019-11-19,21933.217,1.65
2019-11-20,21933.217,1.65
2019-11-21,21933.217,1.65
2019-11-22,21933.217,1.65
2019-11-23,21933.217,1.65
2019-11-24,21933.217,1.65
2019-11-25,21933.217,1.65
2019-11-26,21933.217,1.65
2019-11-27,21933.217,1.65
2019-11-28,21933.217,1.65
2019-11-29,21933.217,1.65
2019-11-30,21933.217,1.65
2019-12-01,21933.217,1.65
2019-12-02,21933.217,1.65
2019-12-03,21933.217,1.65
2019-12-04,21933.217,1.65
2019-12-05,21933.217,1.65
2019-12-06,21933.217,1.65
2019-12-07,21933.217,1.65
2019-12-08,21933.217,1.65
2019-12-09,21933.217,1.65
2019-12-10,21933.217,1.65
2019-12-11,21933.217,1.65
2019-12-12,21933.217,1.65
2019-12-13,21933.217,1.65
2019-12-14,21933.217,1.65
2019-12-15,21933.217,1.65
2019-12-16,21933.217,1.65
2019-12-17,21933.217,1.65
2019-12-18,21933.217,1.65
2019-12-19,21933.217,1.65
2019-12-20,21933.217,1.65
2019-12-21,21933.217,1.65
2019-12-22,21933.217,1.65
2019-12-23,21933.217,1.65
2019-12-24,21933.217,1.65
2019-12-25,21933.217,1.65
2019-12-26,21933.217,1.65
2019-12-27,21933.217,1.65
2019-12-28,21933.217,1.65
2019-12-29,21933.217,1.65
2019-12-30,21933.217,1.65
2019-12-31,21933.217,1.65
2020-01-01,21727.657,1.65
2020-01-02,21727.657,1.65
2020-01-03,21727.657,1.65
2020-01-04,21727.657,1.65
2020-01-05,21727.657,1.65
2020-01-06,21727.657,1.65
2020-01-07,21727.657,1.65
2020-01-08,21727.657,1.65
2020-01-09,21727.657,1.65
2020-01-10,21727.657,1.65
2020-01-11,21727.657,1.65
2020-01-12,21727.657,1.65
2020-01-13,21727.657,1.65
2020-01-14,21727.657,1.65
2020-01-15,21727.657,1.65
2020-01-16,21727.657,1.65
2020-01-17,21727.657,1.65
2020-01-18,21727.657,1.65
2020-01-19,21727.657,1.65
2020-01-20,21727.657,1.65
2020-01-21,21727.657,1.65
2020-01-22,21727.657,1.65
2020-01-23,21727.657,1.65
2020-01-24,21727.657,1.65
2020-01-25,21727.657,1.65
2020-01-26,21727.657,1.65
2020-01-27,21727.657,1.65
2020-01-28,21727.657,1.65
2020-01-29,21727.657,1.65
2020-01-30,21727.657,1.65
2020-01-31,21727.657,1.65
2020-02-01,21727.657,1.65
2020-02-02,21727.657,1.65
2020-02-03,21727.657,1.65
2020-02-04,21727.657,1.65
2020-02-05,21727.657,1.65
2020-02-06,21727.657,1.65
2020-02-07,21727.657,1.65
2020-02-08,21727.657,1.65
2020-02-09,21727.657,1.65
2020-02-10,21727.657,1.65
2020-02-11,21727.657,1.65
2020-02-12,21727.657,1.65
2020-02-13,21727.657,1.65
2020-02-14,21727.657,1.65
2020-02-15,21727.657,1.65
2020-02-16,21727.657,1.65
2020-02-17,21727.657,1.65
2020-02-18,21727.657,1.65
2020-02-19,21727.657,1.65
2020-02-20,21727.657,1.65
2020-02-21,21727.657,1.65
2020-02-22,21727.657,1.65
2020-02-23,21727.657,1.65
2020-02-24,21727.657,1.65
2020-02-25,21727.657,1.65
2020-02-26,21727.657,1.65
2020-02-27,21727.657,1.65
2020-02-28,21727.657,1.65
2020-02-29,21727.657,1.65
2020-03-01,21727.657,1.65
2020-03-02,21727.657,1.65
2020-03-03,21727.657,1.65
2020-03-04,21727.657,1.65
2020-03-05,21727.657,1.65
2020-03-06,21727.657,1.65
2020-03-07,21727.657,1.65
2020-03-08,21727.657,1.65
2020-03-09,21727.657,1.65
2020-03-10,21727.657,1.65
2020-03-11,21727.657,1.65
2020-03-12,21727.657,1.65
2020-03-13,21727.657,1.65
2020-03-14,21727.657,1.65
2020-03-15,21727.657,1.65
2020-03-16,21727.657,1.65
2020-03-17,21727.657,1.65
2020-03-18,21727.657,1.65
2020-03-19,21727.657,1.65
2020-03-20,21727.657,1.65
2020-03-21,21727.657,1.65
2020-03-22,21727.657,1.65
2020-03-23,21727.657,1.65
2020-03-24,21727.657,1.65
2020-03-25,21727.657,1.65
2020-03-26,21727.657,1.65
2020-03-27,21727.657,1.65
2020-03-28,21727.657,1.65
2020-03-29,21727.657,1.65
2020-03-30,21727.657,1.65
2020-03-31,21727.657,1.65
2020-04-01,19935.444,0.62
2020-04-02,19935.444,0.62
2020-04-03,19935.444,0.62
2020-04-04,19935.444,0.62
2020-04-05,19935.444,0.62
2020-04-06,19935.444,0.62
2020-04-07,19935.444,0.62
2020-04-08,19935.444,0.62
2020-04-09,19935.444,0.62
2020-04-10,19935.444,0.62
2020-04-11,19935.444,0.62
2020-04-12,19935.444,0.62
2020-04-13,19935.444,0.62
2020-04-14,19935.444,0.62
2020-04-15,19935.444,0.62
2020-04-16,19935.444,0.62
2020-04-17,19935.444,0.62
2020-04-18,19935.444,0.62
2020-04-19,19935.444,0.62
2020-04-20,19935.444,0.62
2020-04-21,19935.444,0.62
2020-04-22,19935.444,0.62
2020-04-23,19935.444,0.62
2020-04-24,19935.444,0.62
2020-04-25,19935.444,0.62
2020-04-26,19935.444,0.62
2020-04-27,19935.444,0.62
2020-04-28,19935.444,0.62
2020-04-29,19935.444,0.62
2020-04-30,19935.444,0.62
2020-05-01,19935.444,0.62
2020-05-02,19935.444,0.62
2020-05-03,19935.444,0.62
2020-05-04,19935.444,0.62
2020-05-05,19935.444,0.62
2020-05-06,19935.444,0.62
2020-05-07,19935.444,0.62
2020-05-08,19935.444,0.62
2020-05-09,19935.444,0.62
